depth_mm,MC_dose_raw,MC_PDD_norm,microDiamond_dose_raw,microDiamond_PDD_norm,microDiamond_dev_%,PinPoint_dose_raw,PinPoint_PDD_norm,PinPoint_dev_%,Semiflex_dose_raw,Semiflex_PDD_norm,Semiflex_dev_%
198,30.413,32.1609,1.5972,32.0298,-0.4077,1.17,32.9949,2.5931,0.2482,33.3952,3.8378
199,29.625,31.3277,1.5924,31.9336,1.9341,1.158,32.6565,4.2418,0.2468,33.2082,6.0029
200,30.499,32.2519,1.596,32.0058,-0.7631,1.1505,32.445,0.5988,0.2448,32.9271,2.0934
201,30.307,32.0489,1.581,31.705,-1.073,1.1475,32.3604,0.9721,0.2448,32.9271,2.7402
202,30.179,31.9135,1.5726,31.5365,-1.1813,1.1325,31.9374,0.0749,0.2427,32.6459,2.2949
203,29.731,31.4398,1.5648,31.3801,-0.1897,1.128,31.8105,1.1792,0.242,32.5517,3.5368
204,29.305,30.9893,1.5522,31.1274,0.4458,1.122,31.6413,2.104,0.2399,32.2706,4.1346
205,29.838,31.5529,1.5456,30.9951,-1.7679,1.122,31.6413,0.2801,0.2392,32.1764,1.976
206,29.39,31.0792,1.5324,30.7304,-1.1223,1.119,31.5567,1.5365,0.2378,31.9881,2.9245
207,28.559,30.2004,1.518,30.4416,0.7986,1.1055,31.176,3.2304,0.2364,31.8011,5.3002
208,28.218,29.8398,1.5114,30.3092,1.5732,1.098,30.9645,3.769,0.235,31.6127,5.9415
209,28.581,30.2237,1.5048,30.1769,-0.1548,1.0905,30.753,1.7513,0.2329,31.3316,3.6657
210,28.453,30.0883,1.4934,29.9483,-0.4654,1.0815,30.4992,1.3655,0.2322,31.2387,3.8235
211,28.325,29.9529,1.482,29.7196,-0.7789,1.0755,30.3299,1.2587,0.2301,30.9562,3.3495
212,27.792,29.3893,1.4832,29.7437,1.2059,1.0695,30.1607,2.6249,0.2287,30.7692,4.6953
213,27.43,29.0065,1.4802,29.6836,2.3341,1.071,30.203,4.1251,0.2273,30.5809,5.4277
214,27.621,29.2085,1.4598,29.2745,0.2259,1.0695,30.1607,3.2602,0.2266,30.4881,4.3809
215,27.835,29.4348,1.4508,29.094,-1.1578,1.056,29.78,1.1729,0.2245,30.2069,2.6232
216,27.408,28.9832,1.4424,28.9255,-0.1991,1.0455,29.4839,1.7275,0.2231,30.0186,3.5722
217,27.302,28.8711,1.4274,28.6247,-0.8536,1.041,29.357,1.6829,0.2218,29.8316,3.3266
218,27.003,28.555,1.4274,28.6247,0.2443,1.035,29.1878,2.2163,0.221,29.7374,4.1409
219,27.217,28.7813,1.4208,28.4924,-1.0038,1.0305,29.0609,0.9716,0.2196,29.5491,2.6677
220,26.897,28.4429,1.4154,28.3841,-0.2067,1.023,28.8494,1.4293,0.2183,29.3621,3.2317
221,26.684,28.2176,1.4064,28.2036,-0.0498,1.0185,28.7225,1.7892,0.2176,29.2679,3.722
222,26.3,27.8116,1.3938,27.9509,0.5011,1.0095,28.4687,2.3628,0.2155,28.9867,4.2255
223,26.087,27.5863,1.3854,27.7825,0.711,1.0005,28.2149,2.2786,0.2148,28.8926,4.7351
224,26.215,27.7217,1.3776,27.626,-0.345,0.996,28.088,1.3214,0.2134,28.7056,3.5492
225,26.407,27.9247,1.3662,27.3974,-1.8882,0.987,27.8342,-0.3242,0.212,28.5172,2.1219
226,25.916,27.4055,1.3596,27.2651,-0.5124,0.984,27.7496,1.2555,0.2106,28.3302,3.3743
227,25.639,27.1126,1.3458,26.9883,-0.4582,0.984,27.7496,2.3495,0.2106,28.3302,4.4912
228,25.469,26.9328,1.3434,26.9402,0.0275,0.9735,27.4535,1.9332,0.2092,28.1419,4.4893
229,25.554,27.0227,1.3332,26.7357,-1.0622,0.969,27.3266,1.1245,0.2078,27.9549,3.4498
230,24.744,26.1661,1.3362,26.7958,2.4065,0.954,26.9036,2.8182,0.2064,27.7679,6.1216
231,24.787,26.2116,1.3254,26.5792,1.4026,0.951,26.819,2.3171,0.205,27.5796,5.219
232,24.638,26.054,1.32,26.4709,1.6002,0.951,26.819,2.9359,0.2043,27.4854,5.4938
233,24.766,26.1894,1.3098,26.2664,0.294,0.9465,26.692,1.9193,0.2022,27.2042,3.875
234,24.787,26.2116,1.3014,26.0979,-0.4336,0.9405,26.5228,1.1874,0.2015,27.1101,3.4278
235,24.446,25.851,1.29,25.8693,0.0709,0.9375,26.4382,2.2716,0.1994,26.8289,3.7829
236,24.169,25.5581,1.2864,25.7971,0.9353,0.927,26.1421,2.2852,0.2001,26.9231,5.3408
237,24.467,25.8732,1.2654,25.376,-1.9217,0.9255,26.0998,0.8759,0.198,26.6419,2.971
238,24.488,25.8954,1.2732,25.5324,-1.4017,0.9195,25.9306,0.136,0.1973,26.5477,2.5191
239,24.403,25.8055,1.266,25.388,-1.6178,0.9135,25.7614,-0.1709,0.196,26.3608,2.1516
240,24.275,25.6702,1.2588,25.2437,-1.6615,0.9045,25.5076,-0.6333,0.1952,26.2666,2.3233
241,23.636,24.9944,1.2432,24.9308,-0.2546,0.8955,25.2538,1.0377,0.1946,26.1724,4.7129
242,23.359,24.7015,1.2372,24.8105,0.4411,0.8955,25.2538,2.2358,0.1932,25.9854,5.1976
243,23.146,24.4763,1.2354,24.7744,1.218,0.885,24.9577,1.9669,0.1911,25.7029,5.0115
244,23.295,24.6338,1.2246,24.5578,-0.3087,0.882,24.8731,0.9712,0.1911,25.7029,4.3398
245,22.762,24.0702,1.2168,24.4014,1.3759,0.8745,24.6616,2.4569,0.189,25.4217,5.6149
246,22.805,24.1157,1.2168,24.4014,1.1847,0.8625,24.3232,0.8604,0.1883,25.3276,5.0253
247,22.847,24.1601,1.2018,24.1006,-0.2463,0.8625,24.3232,0.675,0.1883,25.3276,4.8322
248,22.741,24.048,1.2042,24.1487,0.4188,0.8565,24.154,0.4406,0.1862,25.0464,4.1517
249,22.762,24.0702,1.191,23.884,-0.7736,0.8565,24.154,0.348,0.1848,24.8594,3.2787
250,21.803,23.0561,1.1904,23.872,3.5387,0.8505,23.9848,4.0279,0.1841,24.7652,7.413
